,날짜,언론사,기사제목,링크
0, 2024.05.09 14:21,디지털데일리,[레드햇 서밋 2024] HW와 SW의 결합…차세대 메모리를 탄생시킨 ...,https://finance.naver.com/item/news_read.naver?article_id=0002172954&office_id=138&code=005930&page=5&sm=
1, 2024.05.09 14:13,이데일리,"코스피, 외국인 '팔자'에 낙폭 확대…2710선 '뚝'",https://finance.naver.com/item/news_read.naver?article_id=0005734761&office_id=018&code=005930&page=5&sm=
2, 2024.05.09 09:09,이데일리,"코스피, 외국인 ‘팔자’에 하락 출발…2730선 등락",https://finance.naver.com/item/news_read.naver?article_id=0005734281&office_id=018&code=005930&page=5&sm=
3, 2024.05.09 14:07,경향신문,"삼성이 투자한 로봇기업, AI 연구 위한 ‘인간형 로봇’ 판매 시작",https://finance.naver.com/item/news_read.naver?article_id=0003295312&office_id=032&code=005930&page=5&sm=
4, 2024.05.09 14:03,전자신문,"KEA, 9개 가전사와 '찾아가는 가전제품 무상점검' 실시",https://finance.naver.com/item/news_read.naver?article_id=0003204876&office_id=030&code=005930&page=5&sm=
5, 2024.05.09 13:15,지디넷코리아,"KEA, 전북 순창군·김제시에서 찾아가는 가전제품 무상점검",https://finance.naver.com/item/news_read.naver?article_id=0002330838&office_id=092&code=005930&page=5&sm=
6, 2024.05.09 14:02,매일경제,SOL 한국형글로벌 반도체 액티브 ETF 순자산 500억원 돌파,https://finance.naver.com/item/news_read.naver?article_id=0005300847&office_id=009&code=005930&page=5&sm=
7, 2024.05.09 11:18,헤럴드경제,SOL 한국형글로벌반도체액티브...순자산 500억 돌파,https://finance.naver.com/item/news_read.naver?article_id=0002306399&office_id=016&code=005930&page=5&sm=
8, 2024.05.09 10:18,파이낸셜뉴스,반도체 밸류체인별 1등에 투자하니···韓美 대표 지수도 넘었다,https://finance.naver.com/item/news_read.naver?article_id=0005182798&office_id=014&code=005930&page=5&sm=
9, 2024.05.09 09:46,이코노미스트,"신한운용, 한국형글로벌 반도체 액티브 ETF 순자산 500억 돌파",https://finance.naver.com/item/news_read.naver?article_id=0000059357&office_id=243&code=005930&page=5&sm=
10, 2024.05.09 09:27,서울경제,"신한운용 ‘SOL 한국형글로벌 반도체 액티브 ETF', 순자산 500...",https://finance.naver.com/item/news_read.naver?article_id=0004338391&office_id=011&code=005930&page=5&sm=
11, 2024.05.09 09:27,머니투데이,"신한운용, 한국형글로벌 반도체 액티브 ETF 순자산 500억 돌파",https://finance.naver.com/item/news_read.naver?article_id=0005035763&office_id=008&code=005930&page=5&sm=
12, 2024.05.09 09:02,아시아경제,"신한운용, SOL 한국형글로벌 반도체 액티브 ETF 순자산 500억 ...",https://finance.naver.com/item/news_read.naver?article_id=0005415929&office_id=277&code=005930&page=5&sm=
13, 2024.05.09 08:42,이데일리,"신한운용, 'SOL 한국형글로벌 반도체 액티브 ETF' 순자산 500...",https://finance.naver.com/item/news_read.naver?article_id=0005734237&office_id=018&code=005930&page=5&sm=
14, 2024.05.09 08:37,헤럴드경제,SOL 한국형글로벌 반도체 액티브 ETF 순자산 500억 돌파 [투자...,https://finance.naver.com/item/news_read.naver?article_id=0002306140&office_id=016&code=005930&page=5&sm=
15, 2024.05.09 13:35,국제신문,아이에게 주식 선물하세요… 증권가 가정의 달 이벤트,https://finance.naver.com/item/news_read.naver?article_id=0000073291&office_id=658&code=005930&page=5&sm=
16, 2024.05.09 13:25,아시아경제,"[특징주]파버나인, 삼성 136조 시장 초음파 AI 소니오 인수…초음파...",https://finance.naver.com/item/news_read.naver?article_id=0005416186&office_id=277&code=005930&page=5&sm=
17, 2024.05.09 13:25,서울경제,[오후시황] 외국인 매도세에 코스피 2720선 추락,https://finance.naver.com/item/news_read.naver?article_id=0004338588&office_id=011&code=005930&page=5&sm=
18, 2024.05.09 13:21,한국경제,"코스피, 2710선까지 낙폭 확대…외인 '팔자' 돌변",https://finance.naver.com/item/news_read.naver?article_id=0004982587&office_id=015&code=005930&page=5&sm=
19, 2024.05.09 12:30,뉴스1,코스피 장중낙폭 확대…외국인 매도세에 2726선까지 '털썩'[장중시황],https://finance.naver.com/item/news_read.naver?article_id=0007529831&office_id=421&code=005930&page=5&sm=
