,날짜,언론사,기사제목,링크
0, 2024.05.09 15:20,뉴시스,"""K-컬처 타고 뷰티·패션·푸드 훨훨"" 문체부 재외문화원 역할 확대",https://finance.naver.com/item/news_read.naver?article_id=0012537257&office_id=003&code=005930&page=4&sm=
1, 2024.05.09 15:13,디지털타임스,"“AS 앞세워 中 잡는다”…삼성전자, 로봇청소기 ‘왕좌’ 고삐",https://finance.naver.com/item/news_read.naver?article_id=0002872776&office_id=029&code=005930&page=4&sm=
2, 2024.05.09 15:07,뉴스1,"삼성전자, 옵션만기일·美 기술주 약세에 '8만전자' 공방[핫종목]",https://finance.naver.com/item/news_read.naver?article_id=0007530551&office_id=421&code=005930&page=4&sm=
3, 2024.05.09 14:46,뉴시스,"퀄리타스반도체, 상장 6개월만에 대규모 유증…소액주주 날벼락",https://finance.naver.com/item/news_read.naver?article_id=0012537086&office_id=003&code=005930&page=4&sm=
4, 2024.05.09 09:27,한국경제,"퀄리타스반도체, IPO 반년만에 600억 증자...주가 급락",https://finance.naver.com/item/news_read.naver?article_id=0004982414&office_id=015&code=005930&page=4&sm=
5, 2024.05.09 14:45,세계일보,1분기 나라살림 적자 75조3000억…연간 목표치의 82.2%,https://finance.naver.com/item/news_read.naver?article_id=0003931534&office_id=022&code=005930&page=4&sm=
6, 2024.05.09 14:44,뉴시스,"TSMC, '3나노 2세대' 이끈다…""애플 최신 칩에 적용""",https://finance.naver.com/item/news_read.naver?article_id=0012537082&office_id=003&code=005930&page=4&sm=
7, 2024.05.09 14:42,머니S,"'파두 사태' NH·한투 간담회 제외… 금감원 ""TF 중심, IPO 선...",https://finance.naver.com/item/news_read.naver?article_id=0001001582&office_id=417&code=005930&page=4&sm=
8, 2024.05.09 13:30,매일경제,‘IPO 주관업무’ 어떻게 바뀌나…승패 요인은 ‘신뢰 회복’,https://finance.naver.com/item/news_read.naver?article_id=0005300823&office_id=009&code=005930&page=4&sm=
9, 2024.05.09 10:01,데일리안,"금감원, ‘제 2의 파두 사태’ 방지 부실 실사 주관사 제재 마련",https://finance.naver.com/item/news_read.naver?article_id=0002828155&office_id=119&code=005930&page=4&sm=
10, 2024.05.09 14:40,전자신문,"[ET라씨로] 삼성, AI 의료기기社 소니오 인수에…의료 AI 업체에 ...",https://finance.naver.com/item/news_read.naver?article_id=0003204927&office_id=030&code=005930&page=4&sm=
11, 2024.05.09 14:26,이데일리,"[특징주]삼성전자, 미중 반도체 갈등 속 ‘8만전자’ 공방",https://finance.naver.com/item/news_read.naver?article_id=0005734774&office_id=018&code=005930&page=4&sm=
12, 2024.05.09 14:25,서울경제,"삼성전자, 비스포크 AI 무풍 시스템에어컨 인피니트 라인 출시",https://finance.naver.com/item/news_read.naver?article_id=0004338623&office_id=011&code=005930&page=4&sm=
13, 2024.05.09 12:21,스포츠조선,"삼성전자, 비스포크 AI 무풍 시스템에어컨 인피니트 라인 선보여",https://finance.naver.com/item/news_read.naver?article_id=0004142874&office_id=076&code=005930&page=4&sm=
14, 2024.05.09 11:49,문화일보,삼성 AI 에어컨,https://finance.naver.com/item/news_read.naver?article_id=0002636365&office_id=021&code=005930&page=4&sm=
15, 2024.05.09 08:56,뉴스1,'비스포크 AI 무풍 시스템에어컨 인피니트 라인'이 나왔어요,https://finance.naver.com/item/news_read.naver?article_id=0007528937&office_id=421&code=005930&page=4&sm=
16, 2024.05.09 08:53,뉴스1,삼성 '비스포크 AI 무풍 시스템에어컨 인피니트 라인’ 출시,https://finance.naver.com/item/news_read.naver?article_id=0007528932&office_id=421&code=005930&page=4&sm=
17, 2024.05.09 08:44,연합뉴스,"삼성전자, 비스포크 AI 무풍 시스템에어컨 인피니트 라인 출시",https://finance.naver.com/item/news_read.naver?article_id=0014676299&office_id=001&code=005930&page=4&sm=
18, 2024.05.09 08:23,연합뉴스,"삼성전자, '비스포크 AI 무풍 시스템에어컨 인피니트 라인' 출시",https://finance.naver.com/item/news_read.naver?article_id=0014676263&office_id=001&code=005930&page=4&sm=
19, 2024.05.09 08:23,연합뉴스,"삼성전자, '비스포크 AI 무풍 시스템에어컨 인피니트 라인' 출시",https://finance.naver.com/item/news_read.naver?article_id=0014676262&office_id=001&code=005930&page=4&sm=
20, 2024.05.09 08:23,연합뉴스,"삼성전자, '비스포크 AI 무풍 시스템에어컨 인피니트 라인' 출시",https://finance.naver.com/item/news_read.naver?article_id=0014676261&office_id=001&code=005930&page=4&sm=
21, 2024.05.09 08:23,연합뉴스,"삼성전자, '비스포크 AI 무풍 시스템에어컨 인피니트 라인' 출시",https://finance.naver.com/item/news_read.naver?article_id=0014676265&office_id=001&code=005930&page=4&sm=
22, 2024.05.09 08:23,연합뉴스,"삼성전자, '비스포크 AI 무풍 시스템에어컨 인피니트 라인' 출시",https://finance.naver.com/item/news_read.naver?article_id=0014676264&office_id=001&code=005930&page=4&sm=
