,날짜,언론사,기사제목,링크
0, 2024.05.09 15:50,매일경제,버티고 버티며 살아남은 ‘네카오 개미’…실적 반등에 한숨 돌릴까,https://finance.naver.com/item/news_read.naver?article_id=0005300971&office_id=009&code=035720&page=2&sm=
1, 2024.05.09 15:44,YTN,[생생경제] 일본의 한국 지우기? 韓-日 안보전 된 '라인 사태',https://finance.naver.com/item/news_read.naver?article_id=0002033284&office_id=052&code=035720&page=2&sm=
2, 2024.05.09 15:39,머니투데이,"네이버 '최고' 분기, 카카오 고른 성장…中커머스 공세에도 '굳건'",https://finance.naver.com/item/news_read.naver?article_id=0005036078&office_id=008&code=035720&page=2&sm=
3, 2024.05.09 15:07,디지털데일리,"‘안정’ 네이버·‘개선’ 카카오, 1분기 나란히 웃었다",https://finance.naver.com/item/news_read.naver?article_id=0002172967&office_id=138&code=035720&page=2&sm=
4, 2024.05.09 12:21,KBS,카카오 1분기 영업익 92%↑…“플랫폼·콘텐츠 견인”동영상기사,https://finance.naver.com/item/news_read.naver?article_id=0011717840&office_id=056&code=035720&page=2&sm=
5, 2024.05.09 11:49,문화일보,카카오 1분기 영업이익 1203억… 전년 대비 92% 증가,https://finance.naver.com/item/news_read.naver?article_id=0002636372&office_id=021&code=035720&page=2&sm=
6, 2024.05.09 15:34,한국경제TV,영업익 2배 늘어도 주가 뒷걸음질…카카오 '울상' [엔터프라이스]동영상기사,https://finance.naver.com/item/news_read.naver?article_id=0001161280&office_id=215&code=035720&page=2&sm=
7, 2024.05.09 15:15,뉴스1,"카카오, 옛 '다음 글로벌미디어센터' 제주 사옥 180억원에 매각",https://finance.naver.com/item/news_read.naver?article_id=0007530605&office_id=421&code=035720&page=2&sm=
8, 2024.05.09 14:00,연합뉴스,'추억의 다음 글로벌미디어센터' 적십자사에 팔려,https://finance.naver.com/item/news_read.naver?article_id=0014677640&office_id=001&code=035720&page=2&sm=
9, 2024.05.09 14:44,서울신문,"카카오, 1분기 매출 1조 9884억·영업익 1203억…“AI 서비스 ...",https://finance.naver.com/item/news_read.naver?article_id=0003449826&office_id=081&code=035720&page=2&sm=
10, 2024.05.09 14:05,경향신문,중국 플랫폼 공세 속 선방한 카카오···1분기 영업익 92% 증가,https://finance.naver.com/item/news_read.naver?article_id=0003295310&office_id=032&code=035720&page=2&sm=
11, 2024.05.09 11:32,스포츠서울,"카카오, 1Q 매출 1조9884억 원…AI 연구·사업 조직 구성",https://finance.naver.com/item/news_read.naver?article_id=0001058560&office_id=468&code=035720&page=2&sm=
12, 2024.05.09 11:01,아시아경제,"카카오, 플랫폼·콘텐츠 성장타고 영업익 92%↑…""AI 개발 속도낼 ...",https://finance.naver.com/item/news_read.naver?article_id=0005416102&office_id=277&code=035720&page=2&sm=
13, 2024.05.09 10:55,머니투데이,플랫폼·콘텐츠 고르게 성장한 카카오…'카카오톡'·'AI' 주력,https://finance.naver.com/item/news_read.naver?article_id=0005035888&office_id=008&code=035720&page=2&sm=
14, 2024.05.09 10:36,국민일보,알리·테무 공세에도 선방… 카카오 1분기 영업이익 92%↑,https://finance.naver.com/item/news_read.naver?article_id=0001694773&office_id=005&code=035720&page=2&sm=
15, 2024.05.09 10:06,노컷뉴스,카카오 수익성 되살아났다…영업익 1년 만에 92% 상승,https://finance.naver.com/item/news_read.naver?article_id=0003893429&office_id=079&code=035720&page=2&sm=
16, 2024.05.09 14:40,매일경제,"금리 떨어질 때 뭐 살까···작년엔 운송, 헬스케어, 미디어 올랐다",https://finance.naver.com/item/news_read.naver?article_id=0005300911&office_id=009&code=035720&page=2&sm=
17, 2024.05.09 14:39,뉴시스,"[컨콜] LGU+ ""카·모 전기차 충전 합작법인, 3년내 톱3 목표""",https://finance.naver.com/item/news_read.naver?article_id=0012537052&office_id=003&code=035720&page=2&sm=
18, 2024.05.09 14:08,디지털타임스,"카카오, 플랫폼·콘텐츠 양날개로 부진 탈출 본격화…""AI 효율 투자 우...",https://finance.naver.com/item/news_read.naver?article_id=0002872755&office_id=029&code=035720&page=2&sm=
19, 2024.05.09 11:24,조선비즈,"되살아난 카카오, 1분기 영업익 1203억원...“콘텐츠 강화, 주주...",https://finance.naver.com/item/news_read.naver?article_id=0000991376&office_id=366&code=035720&page=2&sm=
20, 2024.05.09 10:22,MBN,"카카오, 1분기 영업이익 1,203억 원…92% 증가",https://finance.naver.com/item/news_read.naver?article_id=0001816662&office_id=057&code=035720&page=2&sm=
21, 2024.05.09 09:39,매일경제,"“기나긴 부진, 드디어 벗어나나”…카카오, 1분기 영업익 전년비 92...",https://finance.naver.com/item/news_read.naver?article_id=0005300640&office_id=009&code=035720&page=2&sm=
22, 2024.05.09 09:27,KBS,카카오 1분기 영업익 92% 증가…“AI 서비스 속도감 있게 내놓을 ...,https://finance.naver.com/item/news_read.naver?article_id=0011717624&office_id=056&code=035720&page=2&sm=
23, 2024.05.09 14:00,MBN,"배달의민족, '착한가격업소' 지원 업무협약 체결",https://finance.naver.com/item/news_read.naver?article_id=0001816733&office_id=057&code=035720&page=2&sm=
24, 2024.05.09 13:42,디지털데일리,“배민서 ‘착한가격업소’ 주문하면 할인해드려요”,https://finance.naver.com/item/news_read.naver?article_id=0002172946&office_id=138&code=035720&page=2&sm=
25, 2024.05.09 10:57,이데일리,"배민, ‘착한가격업소’서 주문시 할인 혜택 제공",https://finance.naver.com/item/news_read.naver?article_id=0005734548&office_id=018&code=035720&page=2&sm=
