,날짜,언론사,기사제목,링크
0, 2024.05.09 16:36,매경이코노미,"“드디어 살아났다”…카카오, 1분기 영업익 92%↑",https://finance.naver.com/item/news_read.naver?article_id=0000089031&office_id=024&code=035720&page=1&sm=
1, 2024.05.09 16:21,부산일보,카카오 1분기 영업이익 1203억원…92%↑,https://finance.naver.com/item/news_read.naver?article_id=0001269233&office_id=082&code=035720&page=1&sm=
2, 2024.05.09 11:36,전자신문,"카카오, 역대 1분기 중 '최대 매출'…영업익 전년比 92%↑",https://finance.naver.com/item/news_read.naver?article_id=0003204809&office_id=030&code=035720&page=1&sm=
3, 2024.05.09 10:29,조선일보,카카오 1분기 영업이익 1203억…전년 대비 92% 상승,https://finance.naver.com/item/news_read.naver?article_id=0003833179&office_id=023&code=035720&page=1&sm=
4, 2024.05.09 10:09,강원도민일보,"카카오, 1분기 영업익 1203억원…전년비 92% 증가",https://finance.naver.com/item/news_read.naver?article_id=0000074153&office_id=654&code=035720&page=1&sm=
5, 2024.05.09 16:24,뉴스1,"'영업익 15% 감소' LGU+ ""전 사업 AI 전환으로 돌파구 마련""",https://finance.naver.com/item/news_read.naver?article_id=0007530910&office_id=421&code=035720&page=1&sm=
6, 2024.05.09 15:30,연합뉴스,"LG유플러스, 전산망·마케팅비 증가로 영업이익 감소(종합2보)",https://finance.naver.com/item/news_read.naver?article_id=0014678114&office_id=001&code=035720&page=1&sm=
7, 2024.05.09 16:16,뉴시스,"日 라인야후와 결별 앞둔 네이버, 이틀째 하락[핫스탁](종합)",https://finance.naver.com/item/news_read.naver?article_id=0012537513&office_id=003&code=035720&page=1&sm=
8, 2024.05.09 16:14,부산일보,"벤츠코리아, R&D센터 10주년 맞아 미래차 개발 강화",https://finance.naver.com/item/news_read.naver?article_id=0001269229&office_id=082&code=035720&page=1&sm=
9, 2024.05.09 15:57,이코노미스트,"현지화 위한 노력 지속...벤츠코리아, R&D센터 건립 10주년",https://finance.naver.com/item/news_read.naver?article_id=0000059371&office_id=243&code=035720&page=1&sm=
10, 2024.05.09 15:02,헤럴드경제,벤츠코리아 R＆D 센터 설립 10주년…“한국 고객이 원하는 제품 만든...,https://finance.naver.com/item/news_read.naver?article_id=0002306556&office_id=016&code=035720&page=1&sm=
11, 2024.05.09 10:17,연합뉴스,'4대시장' 한국 위한 연구개발…벤츠 R&D코리아센터 10주년 맞아,https://finance.naver.com/item/news_read.naver?article_id=0014676610&office_id=001&code=035720&page=1&sm=
12, 2024.05.09 16:06,이데일리,"정신아號 카카오, 첫 성적표 '맑음'…""AI 일상화·대중화 속도낸다""",https://finance.naver.com/item/news_read.naver?article_id=0005734963&office_id=018&code=035720&page=1&sm=
13, 2024.05.09 15:44,파이낸셜뉴스,"카카오, 실적 부진터널 벗어나나...정신아 ""빠른 시일내 AI서비스 ...",https://finance.naver.com/item/news_read.naver?article_id=0005183136&office_id=014&code=035720&page=1&sm=
14, 2024.05.09 13:09,지디넷코리아,"""카카오톡·AI가 무기""…카카오, 올해 두 자릿수 성장한다",https://finance.naver.com/item/news_read.naver?article_id=0002330836&office_id=092&code=035720&page=1&sm=
15, 2024.05.09 13:05,매일경제,카카오 1분기 실적 순항...“AI 기반 카톡 상담 서비스 준비” (...,https://finance.naver.com/item/news_read.naver?article_id=0005300816&office_id=009&code=035720&page=1&sm=
16, 2024.05.09 11:36,지디넷코리아,"카톡 성장 둔화?…정신아 ""카카오 사업 기반 여전, AI로 더 성장할...",https://finance.naver.com/item/news_read.naver?article_id=0002330825&office_id=092&code=035720&page=1&sm=
17, 2024.05.09 11:35,뉴스1,"카카오 ""올해 매출액 두 자릿수 이상 성장 기대…다양한 AI 서비스 ...",https://finance.naver.com/item/news_read.naver?article_id=0007529643&office_id=421&code=035720&page=1&sm=
18, 2024.05.09 11:32,비즈워치,中 알리·테무 공세에…카카오 웃었다,https://finance.naver.com/item/news_read.naver?article_id=0000025539&office_id=648&code=035720&page=1&sm=
19, 2024.05.09 11:28,디지털데일리,"[컨콜] 1분기 수익성 되살아난 카카오, ‘늦었어도 차분히’ AI 서...",https://finance.naver.com/item/news_read.naver?article_id=0002172930&office_id=138&code=035720&page=1&sm=
20, 2024.05.09 11:25,아이뉴스24,"[컨콜 종합] 카카오 ""AI 콘텐츠 구독·상담 서비스 준비 중...빠...",https://finance.naver.com/item/news_read.naver?article_id=0000835148&office_id=031&code=035720&page=1&sm=
21, 2024.05.09 11:24,뉴시스,"정신아호 카카오, 카톡에 힘 주고 AI 서비스 출시 속도(종합)",https://finance.naver.com/item/news_read.naver?article_id=0012536259&office_id=003&code=035720&page=1&sm=
22, 2024.05.09 11:22,연합뉴스,"카카오, 역대 1분기 최대 매출…中 공세 속 톡비즈 성장(종합2보)",https://finance.naver.com/item/news_read.naver?article_id=0014677076&office_id=001&code=035720&page=1&sm=
23, 2024.05.09 11:13,헤럴드경제,정신아 카카오 대표 “AI 서비스 테스트 ‘플레이그라운드’ 도입”,https://finance.naver.com/item/news_read.naver?article_id=0002306371&office_id=016&code=035720&page=1&sm=
24, 2024.05.09 11:09,데일리안,"카카오 정신아 “AI, 늦은 만큼 빠르게…주주가치 제고 우선”(종합)",https://finance.naver.com/item/news_read.naver?article_id=0002828234&office_id=119&code=035720&page=1&sm=
25, 2024.05.09 10:54,이데일리,"정신아 카카오 대표 ""빠른 시일 내 AI 서비스 가시화할 것""",https://finance.naver.com/item/news_read.naver?article_id=0005734544&office_id=018&code=035720&page=1&sm=
26, 2024.05.09 10:08,헤럴드경제,첫 컨콜 나선 카카오 정신아 “AI 서비스 테스트 할 ‘플레이그라운드...,https://finance.naver.com/item/news_read.naver?article_id=0002306271&office_id=016&code=035720&page=1&sm=
27, 2024.05.09 16:05,파이낸셜뉴스,"LG U+, AI·EV 충전사업으로 실적반등 나선다",https://finance.naver.com/item/news_read.naver?article_id=0005183158&office_id=014&code=035720&page=1&sm=
28, 2024.05.09 16:04,매일경제,'대기업 프리패스' 계약학과 70%는 학생부 선발 [남윤곤 소장의 대입...,https://finance.naver.com/item/news_read.naver?article_id=0005300987&office_id=009&code=035720&page=1&sm=
29, 2024.05.09 16:02,이코노미스트,"고스티, 카카오 인기 이모티콘 ‘곽철이’ 콜라보 카드커버 출시",https://finance.naver.com/item/news_read.naver?article_id=0000059373&office_id=243&code=035720&page=1&sm=
30, 2024.05.09 16:00,머니투데이,"엔씨·시프트업 개발진 모였다…지피유엔, 17억원 시드투자 유치",https://finance.naver.com/item/news_read.naver?article_id=0005036095&office_id=008&code=035720&page=1&sm=
31, 2024.05.09 11:00,뉴스1,"카카오벤처스, 서브컬처 게임 개발사 '지피유엔'에 시드투자",https://finance.naver.com/item/news_read.naver?article_id=0007529458&office_id=421&code=035720&page=1&sm=
32, 2024.05.09 15:53,아시아경제,"카카오, 임원 상여금 주가수익률 연동 추진…""주주가치 제고 우선순위""",https://finance.naver.com/item/news_read.naver?article_id=0005416294&office_id=277&code=035720&page=1&sm=
33, 2024.05.09 15:35,MBC,"카카오 ""임원 상여금, 주가수익률에 연동""",https://finance.naver.com/item/news_read.naver?article_id=0001347567&office_id=214&code=035720&page=1&sm=
34, 2024.05.09 15:11,연합뉴스,"카카오 임원 상여금, 주가수익률에 연동된다",https://finance.naver.com/item/news_read.naver?article_id=0014678008&office_id=001&code=035720&page=1&sm=
35, 2024.05.09 10:23,디지털데일리,[컨콜] 카카오 정신아 “대표 포함 임원 보수 주가 수익률과 연동”,https://finance.naver.com/item/news_read.naver?article_id=0002172908&office_id=138&code=035720&page=1&sm=
