한글 종목약명,단축코드,상장주식수,상장일,영문 종목명,주식종류,증권구분,,,,
신한지주,055550,"512,759,471",2001/09/10,"ShinhanFinancialGroup Co.,Ltd.",보통주,주권,,,,
삼성증권,016360,"89,300,000",1988/03/28,SamsungSecurities,보통주,주권,,,,
카카오페이,377300,"134,338,193",2021/11/03,kakaopay,보통주,주권,,,,
한미사이언스,008930,"69,956,940",1988/06/20,Hanmi Science,보통주,주권,,,,
삼성카드,029780,"115,858,891",2007/06/27,"SAMSUNG CARD CO., LTD.",보통주,주권,,,,
KT,030200,"257,860,760",1998/12/23,KTCorporation,보통주,주권,,,,
현대건설,000720,"111,355,765",1984/12/22,HyundaiEngineering&Construction,보통주,주권,,,,
현대제철,004020,"133,445,785",1987/05/23,HYUNDAI STEEL,보통주,주권,,,,
한화솔루션,009830,"171,892,536",1974/06/19,HANWHA SOLUTIONS,보통주,주권,,,,
한화오션,042660,"306,358,899",2001/02/02,Hanwha Ocean,보통주,주권,,,,
카카오뱅크,323410,"476,921,137",2021/08/06,KakaoBank Corp.,보통주,주권,,,,
롯데지주,004990,"104,909,237",1974/02/16,Lotte Corporation,보통주,주권,,,,
한국가스공사,036460,"92,313,000",1999/12/15,KoreaGasCorporation,보통주,주권,,,,
아모레G,002790,"82,458,180",1973/04/30,AmoreG,보통주,주권,,,,
삼성엔지니어링,028050,"196,000,000",1996/12/24,SamsungEngineering,보통주,주권,,,,
한국전력,015760,"641,964,077",1989/08/10,KoreaElectricPower,보통주,주권,,,,
대한항공,003490,"368,220,661",1966/03/18,KoreanAirLines,보통주,주권,,,,
GS리테일,007070,"104,717,922",2011/12/23,GS Retail,보통주,주권,,,,
제일기획,030000,"115,041,225",1998/03/03,CheilWorldwide,보통주,주권,,,,
두산에너빌리티,034020,"640,561,146",2000/10/25,DOOSAN ENERBILITY,보통주,주권,,,,
강원랜드,035250,"213,940,500",2003/09/04,"Kangwon Land, Inc.",보통주,주권,,,,
HMM,011200,"689,039,496",1995/10/05,HMM,보통주,주권,,,,
우리금융지주,316140,"751,949,461",2019/02/13,WooriFinancialGroup,보통주,주권,,,,
기업은행,024110,"797,425,869",2003/12/24,INDUSTRIALBANKOFKOREA,보통주,주권,,,,
NH투자증권,005940,"331,665,921",1975/09/30,NH INVESTMENT & SECURITIES,보통주,주권,,,,
LG디스플레이,034220,"500,000,000",2004/07/23,LG Display,보통주,주권,,,,
LG유플러스,032640,"436,611,361",2008/04/21,LG Uplus,보통주,주권,,,,
삼성중공업,010140,"880,000,000",1994/01/28,SamsungHeavyIndustries,보통주,주권,,,,
미래에셋증권,006800,"595,316,408",1975/09/30,MIRAE ASSET SECURITIES,보통주,주권,,,,
쌍용C&E,003410,"498,696,968",1975/05/03,SSANGYONGC&E,보통주,주권,,,,
한온시스템,018880,"533,800,000",1996/07/31,Hanon Systems,보통주,주권,,,,
